এইতো আমি রাস্তায়!	দুঃখিত।
এভাবে চললে ভাড়া দেব না আর।	চলে এসেছ? স্বাগতম!
ধন্যবাদ,  খেলতে তো পারো, তাই না? 	পারি, চলে এসো তাহলে।
ওকে, আমরা তিনজন, আর ওরা চারজন।	 ওকে, ঠিক আছে।
শাবাশ!  শাবাশ!	এদিকে! এদিকে!
ঘুমাতে পারিনি তাই উল্টাপাল্টা হচ্ছে, তারচেয়ে বাসায় যেয়ে বরং এটা নিবেন?	আমার সাথে খেলবেন নাকি?
আপনারা আমার সাথে পারবেন না।	সবাই আমাকে টেবিল টেনিস জিনিয়াস বলে ডাকে।
আপনার সাথে আস্তেই খেলব আমি।	আস্তে মারুন দাদু! বাচ্চা ছেলে আমি।
উনি খুবই ভালো খেলে, কখনো হারতে দেখিনি উনাকে।	ইয়াহ , তুমি ওর সাথে কথা বলবে?
 কার সাথে?	 ওর সাথে।
 আড়চোখে যাকে বারবার দেখছ।	 আমি মোটেও এমন করছি না।
বোঝা যায়।	যাও যেয়ে কথা বলো।
ভয় পেয়ো না।	আমি কখনোই ভয় পাই না।
তাহলে যাও!	ঠিক আছে, যাচ্ছি।
হেই, কেমন আছো?	ভুলেই গেছিলাম, ইংলিশ জানো না।
এটা আবার কোন ভাষা?	তুমি ইংলিশ বলতে পারো?
আমিও পারি।		তো, কী শুনছ তুমি?
বাখ, বাখ!	 আগে শুনতাম সবসময়, অস্থির!
এটা শুনেছো কখনো?	ভালো লাগছে, না?
এমন মুভ করতে হবে।	তারপর এমন এমন তোমার চুলগুলো দেখতে পারি?
আমার চুল ধরবে?	ঠিক আছে।
ভালোভাবে প্র্যাকটিস করো।	তাই তো করছি।
সে তো দেখতেই পারছি কী করছ।	তোমার সমস্যাটা কী?
ধরবি না ওটা।		এমন করছিস কেন ভাই!
ধরতে না করেছি!	দেখো চ্যাং, ও এখানে নতুন।
তোমার সম্পর্কে কিছুই জানে না।	যা ভাগ!
মারো ওকে।	যাও, যাও!
ইয়াহ!	কেন মারছো ওকে?
শখ মিটেছে মার খাবার?	 ঠিক আছো তুমি? উঠতে পারবে?
 সমস্যা নেই, আমি ঠিক আছি।	 ড্রে বন্ধু, আমাকে একা থাকতে দাও।
ড্রে, রেডি তুমি?	বিশ মিনিটের মধ্যে যেতে হবে।
জানি, মা।	স্কুলের ইউনিফর্ম পরেছ?
হ্যা, মা।	প্রথমদিনে কোনো উল্টাপাল্টা কোরো না।
জলদি চলো, তোমার জন্য অপেক্ষা করছি।	তোমাকে যেতে হবে না, মা।
আমিই যেতে পারব।	ড্রে, লজ্জা পেও না। আজ তোমার প্রথমদিন।
তাছাড়া আমাদের স্কুলের প্রিন্সিপ্যাল মিসেস পো এর সাথে আলাপ করতে হবে।	আমি তাঁকে খুঁজে নিব,তোমার কাজে যেতে হবে না?  
 তুমি কি আমাকে ভাগাবার পাঁয়তারা করছো?	না, মা।  
মিসেস পো?		হাই, মিসেস পো।
মিসেস পার্কার, আপনার জন্যই অপেক্ষা করছিলাম।	দেরি করানোর জন্য খুবই দুঃখিত!
গতকালই আসলাম তো।	এই হচ্ছে আমার ছেলে, ড্রে।
 হ্যালো, হাই শুধু ইউনিফর্ম ডে'তেই, ইউনিফর্ম পরে আসতে হবে।	ভুলটা আমারই।
আসলে স্কুলের নিয়মকানুন সম্পর্কে জানার সুযোগ পাইনি।	কাল থেকে সব ঠিক থাকবে আর ক্যাপও পরা চলবে না।
বুঝতে পেরেছি, কাল থেকেই সব ঠিক হয়ে যাবে।	ড্রে, মেকাপ করেছ কেন?
কী হয়েছে এখানে?	মা, দৌড়াতে যেয়ে হোঁচট খেয়েছিলাম।
তোমার চোখে কালশিটে পরে গেছে, কার সাথে মারামারি করেছ?	এখানে মারামারি একদম চলবে না!
বললোই তো দৌড়াতে যেয়ে পড়ে গেছে।	এদিকে আসো।
 মা, বাড়াবাড়ি কোরো না।	কে মেরেছে?
কেউ না, হোঁচট খেয়েছিলাম।	তুমি চিল্লাচিল্লি করবে তাই বলিনি তোমাকে।
ড্রে, আমার ছেলের গায়ে কেউ হাত তুললে আমি কোনোভাবেই বরদাস্ত করবো না	জানি, মা।এজন্যই তোমাকে কিছু বলি না।  
বললামই তো হোঁচট খেয়ে ব্যথা পেয়েছি।		 হ্যাঁ, সব বুঝেছি আমি।
ঠিক আছে, ড্রে, এখন ক্লাসে যাও।	এ নিয়ে পরে কথা বলবো আমরা।
 ঠিক আছে? এখন যাও।	 আচ্ছা।
আই লাভ ইউ, মা!	আই লাভ ইউ বলেছি আমি।
বুঝেছি, আই লাভ ইউ টু।	ভালভাবে থেকো।
 হাই, হেই আমাদের স্কুলে ইউনিফর্ম ডে ছাড়া অন্য সময় ইউনিফর্ম পরতে হয় না।	হ্যাঁ, আসার পর জানতে পারলাম।
থ্যাংকস, আমি মেই ইং আমি ড্রে।	চেং যা করল তার জন্য আমি দুঃখিত!
ওর নাম তাহলে চ্যাং তোমার বয়ফ্রেন্ড নাকি?	আরে না!
আমার বাবা মা ওর বাবা মায়ের বন্ধু।	আমি নিশ্চিত ও তোমাকে পছন্দ করে।
আমার প্র্যাকটিস করতে হবে।	দাঁড়াও!
খাবার সময়ও প্র্যাকটিস করো নাকি?	হ্যাঁ, মা বলে দাঁড়িয়ে খেলে নাকি পেটে গ্যাস হয়।
তুমি বেশ মজার।	স্যরি!  
 মজা নাকি!	 পার্কার! থামো!
ও ইচ্ছা করে আমার খাবার ফেলে দিয়েছে!	ও মিথ্যা কথা বলছে!
পার্কার, যাও তুমি।	চ্যাং, তুমিও যাও।
জঘন্য একটা জায়গা!	চার, পাঁচ, ছয়, সাত, আট,নয়, দশ শাওয়ার ঠিক করতে এসেছি।
ওইদিকে চলে যান।	এই ছেলে।
আপনি কি ক্যাপ আমার ঘাড়ে মারলেন?	গরম পানি আসবে এখন থেকে।
সুইচ দিলেই হবে।	আধাঘণ্টা পর গোসল করতে ঢুকো।
তারপর সুইচ অফ করে দিও।	সুইচ অফ করতে হবে কেন?
 অ্যামেরিকায় কী করতে?	অ্যামেরিকাতে তো কোনো সুইচই ছিল না।
সুইচ লাগাবে, বিদ্যুৎ বাঁচাবে।	চোখে কী হয়েছে?
হোঁচট খেয়েছিলাম।	বাহ! ভালো তো।
 ড্রে? আমি চলে এসেছি।	 মা চলে এসেছে।
আর এই হাতলটা একটু ঠিক করতে হবে।	 রেডি হয়েছ তুমি?
 হ্যাঁ!	আমাকে দাও।  
দেখো তোমার প্রিয় খাবার নিয়ে এসেছি।	ড্রে, জ্যাকেট ঠিক জায়গায় রাখতে আর কতবার বলতে হবে তোমাকে?
 একটু পর রাখছি, মা।	না!
এখুনি রাখো।		প্রোগ্রাম শেষ হলেই রাখছি।
 একটু পরেই।	ড্রে! এখুনি রাখো।
এখুনি জায়গায় রাখো খোদা! 	আর কতবার বলতে হবে তোমাকে?
একবার যাও, জ্যাকেট তুলো এখন।	জ্যাকেটের উপর তোমার এত রাগ কেন?
 কী বললে?	কিছু না। 
না বললেই ভালো।	ধন্যবাদ।
হচ্ছে না।	আবার প্রথম থেকে শুরু করো।  
ঠিক আছে, থামো এবার।	বেশি তাড়াহুড়ো করছ তুমি।
তোমাকে খুব শান্ত থাকতে হবে।	বুঝতে পারছো তোমার পরিবারের জন্য এটা কতটা গুরুত্বপুর্ণ?
বা তোমার নিজের জন্য?	পুরো সপ্তাহ প্র্যাকটিস চালিয়ে যেতে হবে।
তোমার বাবার সাথে দেখা করে আসি।	তুমি প্র্যাকটিস করতে থাকো।
কেমন হলো?	একদম চাইনিজদের মতো।
একদম শিখে গেছি।	উনি এমন কেন বলল বুঝলাম না।
মনে হলো তুমি দারুন বাজাচ্ছ।	ধন্যবাদ
কোনো কারনে প্র্যাকটিস করছো নাকি?	কোনো শো বা এমন কিছু...
হ্যাঁ, সামনে মাসে বেইজিং মিউজিক একাডেমির একটা অডিশন আছে।	বেইজিং মিউজিক একাডেমি,অনেক বড় প্রতিযোগিতা মনে হচ্ছে।
জানো, ওদের নামের সংক্ষেপ হয় "ব্যাম"!	কী বললে?
হ্যাঁ, ভাগি এখন।	হেই, তোর চুলগুলো একটু ধরি?
মারামারি করবি নাকি?	আমাদের থেকে দূরে থাকবি।
সবার থেকে দূরে থাকবি।	সোনা ড্রে, ঘুমিয়ে পড়েছ নাকি?
মা, সাইন করে দিবে প্লিজ?	তাহলে ফরবিডেন সিটিতে যাচ্ছ তুমি?
ভেবে হাসি পাচ্ছে যে তোমাকে আমার পারমিশন নিতে হচ্ছে।	বেইজিং এ আমার হাতে প্রচুর ক্ষমতা!  
মজা করো না, মা।	মজা করছি না, বাছা।
 বুচ্ছো ড্রে, এই আইসক্রিম ওরা কীভাবে বানায় কে জানে!	কিন্তু এত মজা এই আইসক্রিম...
কী হলো?	মা, এটাই বলবে তুমি।
খোদা, এই আইসক্রিম কত্ত মজা, 	চায়না শহর কত ভালো অন্যদের তুলনায়, ব্লা ব্লা মা, থামো তো!
তোমার মতো কথা বলার সময় দোলাদুলি করি না আমি।		তুমিও একটু আইসক্রিম নাও, আসলেই মজার।
 মা, মা, আসো আমার সাথে।	ড্রেমা, জলদি আসো!
 দাঁড়াও!	দাঁড়াও ড্রে!
মা, জলদি আসো।	ড্রে, দাঁড়াও!	 দাঁড়াও!
 দাঁড়াও মা!	দৌড়িয়ে আমাকে মেরে ফেলবে নাকি!
ওয়াও,কুংফু কী শেখানো হচ্ছে তোমাদের?	নেই কোনো ব্যথা, দেখানো যাবে না দয়া, করা যাবে না ক্ষমা!
কী শেখানো হচ্ছে তোমাদের?	নেই কোনো ব্যথা, দেখানো যাবে না দয়া, করা যাবে না ক্ষমা!
আবার শুরু করো!	হাই, সোনা।
মা, চলো এখন।	 কী হলো? মাত্রই তো আসলাম।  
চলো, মা।	ড্রে, কী হয়েছে?
কিছু না।	ড্রে, কী হয়েছে বলো?
কিছু না তো।	কিছু একটা তো হয়েছেই।
তোমার কারাতে ক্লাস ভালো লাগেনি, সোনা?	ওটা কারাতে ক্লাস না, মা।
ঠিক আছে, কারাতে হোক বা কুংফু,কিন্তু তোমার কী সমস্যা?	আমরা চায়নাতে এসেছি!
এটাই বড় সমস্যা!	ঠিক আছে, দাঁড়াও এমন কোরো না, ড্রে।
তুমি কী চাও আসলে?	আমরা এখানে আসার এক সপ্তাহও হয়নি।
 আর এর মাঝে  আমার কাছে বছর মনে হচ্ছে!	সবকিছু জঘন্য লাগছে!  
ড্রে, কী হয়েছে বলো আমাকে।	কী হয়েছে না বললে তোমাকে কীভাবে সাহায্য করবো...
তোমার কাছে তো সব ঠিক আছে!	শুধু বলতেই থাকো "এখানে কত ভালো আছি""আইসক্রিম কত মজার"!
কিন্তু আমার কিছুই ভালো লাগে না এখানে!	জঘন্য লাগছে জায়গাটা!
আমি আমেরিকা ফিরে যেতে চাই!	ড্রে, আমরা আর ওখানে ফিরতে পারব না। ঠিক আছে?
ডেট্রয়েটে আমাদের আর কিছুই নেই।	এখানেই থাকতে হবে এখন থেকে।
এটাই আমাদের বাড়ি।	বুঝতে পেরেছ?
হ্যালো, সবাই এদিকে এসো এখানের সম্রাটকে দেবতার সাথে তুলনা করা হতো,	এজন্য সর্বসাধারনকে এখানে আসতে দেয়া হতো না।
এজন্যই শহরের নাম দেয়া হয়েছে ফরবিডেন সিটি (নিষিদ্ধ নগরী)	সৌভাগ্যের প্রতিক হিসাবে সবাই মানে এটাকে।
আমি চাই কেউ ওকে শিক্ষা দিক হ্যাঁ, আমিও চাই।	 ওর নামে অভিযোগ দাও।
দিবো।	ধন্যবাদ।
প্রাসাদের মেঝেতে ১৫ স্তরের গাঁথুনি দেয়া হয়েছিল যাতে টানেল খুঁড়ে কেউ ঢুকতে না পারে শত্রুপক্ষ যদি কোনভাবে ঢুকে পড়েও	 মি. পার্কার?
 জ্বী বলুন?	সব ঠিক আছে?
হ্যাঁ, ধন্যবাদ।		ভালোই দৌড়াতে পারিস, আমাদের থেকে বেশি না।
অনেক হয়েছে, থাম এবার।		মনে নেই আমাদের কি শেখানো হয়েছে?  
দেখানো যাবে না দয়া! 	নেই কোনো ব্যথা!
নেই কোন ক্ষমা!	চ্যাং, অনেক হয়েছে!
বাসায় চলে যাও।	ওঠো লাইটের বাল্ব দিয়ে কী করবেন, মিস্টার হান?  
আমি তো জানতাম আপনি একজন মিস্ত্রি।	চোখে যা দেখো তাই বিশ্বাস করো,এজন্যই ধোঁকা খাও।
কোনো ব্যথা পাচ্ছি না আর।	প্রাচীন চাইনিজ চিকিৎসা।
আপনি ওদের সাথে লড়লেন কীভাবে?	মানে ওদেরকে না মেরেই শিক্ষা দিয়ে দিলেন।
অবাধ্য বাচ্চারা যখন মারামারি করে, ওদের থেকে তখন দূরে থাকাই শ্রেয়।	তো আপনি কুংফু কোথা থেকে শিখেছেন?
বাবার কাছ থেকে।	কাউকে শিখিয়েছেন কখনো?
না।	ইচ্ছা আছে শেখানোর?
 ভাবতে হবে,  কী?	কী কারণে শেখাবো।
যদি কারো পাছা লাল করে দিতে চাই?	মারামারি থেকে দূরে থাকাই উত্তম।
কিন্তু দূরে থেকেও যদি পাছা লাল হয়?	পাছা পাছা কোরো না।
দুঃখিত কুংফু জ্ঞানের জন্য, লড়াইয়ের জন্য না।	যুদ্ধের জন্য নয়, শান্তির জন্যে।
কিন্তু ওদেরকে তো এটা শেখানো হয়নি।	খারাপ শিক্ষক হলে ছাত্রও তেমন হবে।
ওহ, বুঝলাম এবার।	এক কাজ করা যাক, স্কুলে যেয়ে ওদের টিচারকে এটা বুঝিয়ে দিয়ে আসি।  
দারুণ বুদ্ধি।	 উঁহু, খারাপ।
ওখানে গেলে আমার পিটিয়ে পাছা লাল করে দিবে।	এমনিতেও ও তোমাকে প্যাঁদাবে।
আপনি নিয়ে চলুন না তাহলে?	পারব না।
আপনিই তো বললেন আইডিয়াটা ভালো।	তোমার জন্য, আমার জন্য না।
চলুন না! আপনার তো হাতে কাজ নেই তেমন।	তাছাড়া আমি চাইনিজেও যাচ্ছেতাই।
না বললাম না?	ঠিক আছে।
আপনি যা ভালো মনে করেন।	দাঁড়াও, কী করছ তুমি?
থেমে গেলে কেন?	মারো!
এদিকে এসো!	মিস্টার হান, চলুন চলে যাই।
শত্রু ধরাশয়ী না হওয়া পর্যন্ত থামবে না।	কোনো দয়া নয়,এখানেও কোনো দয়া নেই  
প্রতিযোগিতাতেও কোনো দয়া দেখানো চলবে না	কোনো ক্ষমা দেখানো চলবে না!
শত্রুর প্রতি কোনো দয়া নেই।	কী দেখছিস এভাবে?
উনি আমাদেরকে পিটিয়েছিলেন।	আমরা বন্ধুত্ব করতে এসেছি।
ওই ভিতুর ডিমকে বলো যেন নিজে লড়াই করে।	একজন একজন করে এলেও হতো ছয়জন একজনের বিরুদ্ধে, কেমন না?
তাই নাকি লড়াইয়ের জন্য প্রস্তুত হও।	মিস্টার হান, ও কি সত্যিই আমাদের সাথে লড়তে চায়?
আমরা এখানে মারামারি করতে আসিনি।	আমার ছাত্রের গায়ে হাত তুলে আমার জায়গায় এসে আমাকে অপমান!
এত সহজে তোমাকে ছাড়বো ভাবছ?	মাস্টার লি,তোমরা দুজনে এখানে এসেছ, একজনকে তো লড়াই করতেই হবে।
লড়াই টুর্নামেন্টে হবে।	তাহলে সেই কথাই রইলো।
দয়া করে আপনার ছাত্রকে বলে দিয়েন  তার আগ পর্যন্ত ওকে যেন বিরক্ত না করে।	সবাই শোনো!
টুর্নামেন্ট শেষ হবার আগ পর্যন্ত এই ইঁদুরের বাচ্চাকে কেউ জ্বালাবে না।	বোঝা গেছে?
টুর্নামেন্টে না আসলে তোমাকে আর ইঁদুরের বাচ্চার বারোটা বাজাবো আমি।	কী কাহিনী হলো ওখানে?
একটা ভালো খবর আছে, আরেকটা খারাপ।	ভালো খবর হলো, এখন থেকে  তোমাকে কেউ আর জ্বালাবে না।
সত্যি?	তোমার প্রস্তুত হবার আগ পর্যন্ত।  
কিসের জন্য প্রস্ততি?	টুর্নামেন্টের।
তুমি ওদের সাথে এক এক করে লড়বে।	তাহলে খারাপ খবর হলো সবার সামনে ও এখন আমাকে ক্যালাবে।
ঠিক তাই।	অসাধারণ! মহান কাজ করেছেন আপনি।
ওরা আমাকে মেরেই ফেলবে।	ওদের কুংফু দেখেছেন! ওটাকে কুংফু বলে না।
বদমাশ লোকটা ছাত্রদেরকেও বদমায়েশি শেখাচ্ছে।	বদমাশ টিচার ওদের উল্টাপাল্টা শিখিয়ে আমার বারোটা বাজিয়ে দিবে।  
আর ভালো খবর হচ্ছে আমি তোমাকে আসল কুংফু শেখাবো।	ইয়েস!
আসছি, মা!	ওই দাঁড়াও! এত সকাল সকাল কোথাও যাচ্ছ?
 মিস্টার হান আমাকে কুংফু শেখাবেন।	ওই মিস্ত্রি শেখাবে কুংফু?
এটা চায়না, মা।	এখানের সবাই কুংফু পারে।
ড্রে, জানো মারামারি আমার 	একদম ভালো লাগে না।
মারামারি করার জন্য না, মা।	আত্মরক্ষার জন্য শিখছি।
 সাবধানে, ড্রে।	ঠিক আছে।
মিস্টার হান?		এদিকে এসো।
রুমের মধ্যে গাড়ি কেন মিস্টার হান?	বুঝলেন, গতকাল রাতে একটা জিনিস চিন্তা করলাম,প্রথমে টুর্নামেন্টের কথা শুনে ভয় পেয়ে গেছিলাম,
কিন্তু গতরাতে একটা বিষয় বুঝতে পারলাম,	আমি একজন জাত খেলোয়াড়।
আমার সবচেয়ে বড় শক্তি কী জানেন?	গতি। এই দেখুন! কী স্পিড!
হেব্বি এনার্জি!	দেখলেন আমার এনার্জি?
আমি শরীরচর্চার ট্রেনিংও করেছিলাম।	পুলিশরা যেভাবে ট্রেনিং নেয় এই যে দেখুন, দেখছেন?  
বুম! দেখছেন?	বুম! দেখলেন তো!
আমার আংকেল রেমি ব্রাজিলিয়ান এক মেয়ের সাথে প্রেম করতেন,	ওখান থেকে জুজিতসু শিখেছেন।
আমাকেও হালকাপাতলা শিখিয়েছেন।	কিভাবে বাঁধা দিয়ে শত্রুকে আটকাতে হয়।
মারুন আমাকে!	করুন বুঝলেন কিছু?
ভেঙ্গে ফেলতে পারি। 	অনেক ডেঞ্জারাস!
এটাকে প্রেশার লক বলে, বিপজ্জনক।	উনি আমাকে কাওপারোও শিখিয়েছেন ধরতেও পারবেন না আমাকে কোনো এন্টিক ছিল?
তোমার জ্যাকেট নিয়ে এসো।	আসলে মিস্টার হান, আমি বলতে চাচ্ছিলাম
আমার এ বিষয়ে টুকটাক ধারণা আছে, তাই বলতে চাচ্ছিলাম	আমাকে নিয়ে আপনার তেমন খাটুনি করতে হবে না, বুঝলেন?
ঝোলাও এটা।		ঠিক আছে।
এরপর নিচে নামাও।	মাত্রই তো আমি নামাও ওটা।
গায়ে দাও।	খোলো।
 এসব তো করেছি।	খোলো।
এসব কেন করছি বলবেন?		খোলো বলছি।
ঝুলিয়ে রাখো আবার নামাও মাটিতে রাখো।	ওঠাও।
ঝুলিয়ে রাখো।	তোলো।
পরো।	খুলে ফেলো।
মাটিতে রাখো।	ওঠাও।
ঝুলিয়ে রাখো।	তুলে নাও।
পরো এবার।	খোলো।
ঝুলিয়ে রাখো।	মিস্টার হান?
আপনার ঘরে গাড়ি রাখেন কেন?	রাস্তায় পার্ক করার জায়গা নেই।
হেই, কেমন কাটল সময়?	কী শিখলে আজ?
কিছু না।	ইউনিফর্ম ইউনিফর্মের দিনই পরতে হয়।
তুমি নাকি ফাইটিং টুর্নামেন্টে অংশ নিচ্ছ?	হ্যাঁ, তুমি কী করে জানলে?
সবাই জানে।		তোমার কুংফু মাস্টার খুব ভালো মনে হয়।
হ্যাঁ, আমিও তাই মনে করি।		উনি ঘরদোড় ঠিক করেন।
 একটা কথা বলি?	বলো।
তুমি নিজেও প্র্যাকটিস করছ, আমিও করছি।	মানে কী বলব বুঝতে পারছি না।
মানে আমরা দুজনই প্র্যাকটিসের মধ্যে আছি তুমি শিফিসি ফেস্টিভ্যালে যাচ্ছ?	যাব না মানে! 
এখানে আসার পর কোনোদিনও সি ভি ফেস্টিভাল মিস করিনি।	ওখানে শ্যাডো থিয়েটারে যেও।
ওকে, ওখানেই দেখা করবে?	ঠিক আছে তাহলে। শ্যাডো থিয়েটারে দেখা হচ্ছে।
শিফিশি ফেস্টিভ্যাল, শ্যাডো থিয়েটার?	ঠিক আছে।
ওকে।	শুরু হবে কখন যেন?
কাল সন্ধ্যা ৭ টায়।	ওকে, কাল সন্ধ্যায় শিফিশি ফেস্টিভ্যালের শ্যাডো থিয়েটারে।
দেখা হবে তাহলে।	শি শি ফেস্টিভ্যাল।
ফেস্টিভ্যাল শি শি ফেস্টিভ্যাল।	 ঠিক আছে,ঠিক আছে।
মিস্টার হান, মিস্টার হান!	ভেতরে আসব?এসো।
তোমার জ্যাকেট কোথায়?	আসলে আজ বেশ গরম লাগছে।
জ্যাকেট নিয়ে এসো।	বাসায় যেয়ে আবার জ্যাকেট নিয়ে আসব?  
হ্যাঁ, যেখানে লুকিয়ে রেখেছ  সেখান থেকে নিয়ে এসো।		হচ্ছে না!
কী? 	ঠিকভাবেই তো করছি।
না।	কিছু একটা গড়মিল আছে।
কোনো গড়মিল নেই।	তুমি ভঙ্গি করতে ভুলে গেছ।
জ্যাকেট নামাও।	ওকে, ভঙ্গিমায় করো।
হ্যাঁ, এভাবে।		আমি ভুল বুঝতে পেরেছি, মিস্টার হান
মায়ের সাথে অমন করা ঠিক হয়নি আমার।	আপনিই ঠিক ছিলেন।
মাটিতে রাখো।	হ্যালো?
হেই, মা।	টিকিট পেয়েছ?
হ্যাঁ, পেয়েছি তো।	মিস্টার হানের জন্যও একটা এনেছি।
উনার জন্য কে আনতে বলেছে ড্রে, চুপ থাকো।	মিস্টার হান, আপনিও চলুন না আমাদের সাথে?
না, ধন্যবাদ।	ওখানে অনেক ভিড়।
হ্যাঁ, মা। 	প্রচুর ভিড় ওখানে।
আমি অলরেডি টিকিট কেটে ফেলেছি।	 আমি যেতে পারব না।
মিস্টার হান, আপনি না করবেন না প্লিজ।	মজা হবে, মাঝেমধ্যে বাহিরে ঘুরতে যেতে হয়।
এই নাও তোমার কাপড়, ড্রে।	ঝটপট চেঞ্জ করে নাও।
ড্রে?	জ্যাকেট তোলো!
ঠিকই বলেছিলেন, মিস্টার হান।	জায়গাটি লোকে লোকারণ্য।  
চাইনিজ ভ্যালেন্টাইস ডে ওয়াও কী সুন্দর!	 কী বললে মম?
 হ্যাঁ?	কিছু খেতে হবে আমার, ওয়াশরুমেও যাব।
২০ মিনিটের মধ্যেই চলে আসছি।	 ওকে আই লাভ ইউ.  আই লাভ ইউ, সাবধানে থেকো।
২০ মিনিট কিন্তু!	২০ মিনিট!  ঠিক আছে।
হাই, হেই, আমি তোমার জন্য এই দুইটা জিনিস এনেছি		এটার মধ্যে কিছু ভায়োলিনের সুর ডাউনলোড করে এনেছি।
ভাবছিলাম এই সুরের সাথে ভায়োলিন বাজাবে তুমি পার্কে যেমনটি শুনিয়েছিলাম এটা তেমন না,		এটা তোমার ভালো লাগবে আপনার কোনো বাচ্চাকাচ্চা নেই?
জ্বী, না।	ড্রে কে কেমন মনে হচ্ছে?
চাও ড্রে ভালোই শিখছে।	চাও ড্রে মানে?
চাইনিজে "ছোটদের" চাও বলে।	আপনি কতজনকে কুংফু শেখাচ্ছেন?
 চাও ড্রে কে ধরে?	 হ্যাঁ, একজনই।
শো'য়ের গল্পটা কী নিয়ে?	এটা এক দেবী আর তার প্রেমিকের অবিস্মরণীয় প্রেম কাহিনী।
গল্পটা ভীষণ পছন্দ আমার।	মায়ের এই ছেলেকে মোটেও পছন্দ না।
তো সে বিভিন্ন চাল চালতে থাকলো দুজনকে আলাদা করার জন্য।
জিনিসটি পাখিদের খারাপ লাগার কারণে, 	প্রতি বছরে তারা সবাই একসাথে মিলে ব্রিজ বানায়।
যেন অন্তত একদিন ওরা দুজন সময় কাটাতে পারে।	তুমি যদি আমার টুর্নামেন্টে আসো, তাহলে আমিও তোমার অডিশন দেখতে যাব।
ওকে, আমি যাব।	পিংকি প্রমিস?
এভাবে প্রমিজ করতে হয়।	আমি প্রমিজ করছি যে, যেভাবেই  হোক তোমার অডিশনে আমি থাকব।
প্রমিজ করছি তুমি টুর্নামেন্ট জিতলে তোমার  হয়ে সবচেয়ে বেশি গলা ফাটাবো আমি।	কী খবর, মিস্টার হান?
তোমাকে "আসতে বলেছি"?	মনে হলো বলেছেন মিস্টার হান, আসব আমি?
এসো।	আজ তাহলে কী শিখছি?
আগের জিনিসই।	মিস্টার হান, আমি বুঝতে পেরেছি
কী করতে হবে, বুঝেছি?	সম্মান দেয়া শিখতে হবে।
আমার জ্যাকেট হাজারবার ফেলেছি আর তুলেছি!	বুঝতে পেরেছেন? পুরো পাগলামো।
আমি যাচ্ছি।	ওরা যখন ইচ্ছা আমাকে ক্যালাতে পারবে।
আপনার কোনো স্টুডেন্ট নেই কেন জানেন?	কারণ আপনি কুংফু জানেনই না।
চাও ড্রে!	কী?
এখানে এসো।	জ্যাকেট পরো।
 মিস্টার হান, বললাম না	 জ্যাকেট পরো।
জ্যাকেট পরো।	জ্যাকেট নেই তো।  জ্যাকেট পরো।
মজবুত করো।	জ্যাকেট পরো।
শক্ত করো।	জ্যাকেট খোলো।
মনে রাখবে, সবসময় স্ট্রং থাকবে।	জ্যাকেট খোলো।
শক্ত থাকো।	বা পা পেছনে!
ডান পা পেছনে, বা পা পেছনে!	জ্যাকেট তোলো!
 ওয়াও! 	 ফোকাস!
সর্বদা সতর্ক থাকবে।	বা পা পেছনে! ডান পা!
জ্যাকেট ওঠাও।	দাঁড়াও জ্যাকেট ওঠাও।
মজবুত হতে হবে!	শক্ত হয়ে থাকো।
এদিকে খেয়াল করো, ভঙ্গি।	মারো।
এখন ধরো আর মারো।	জোরে! আরো জোরে!
ভালোই হচ্ছে।	খুশি হওয়া যাবে না।  
জ্যাকেট খোলো!	কুংফু আমাদের সর্বত্র ছড়িয়ে আছে।
সেটা জ্যাকেট খোলা বা পরার মধ্যেও।	মানুষের সাথে কেমন আচরণ করতে হয়,
সেটাও কুংফুতে আছে।	আমরা গাড়িতে কেন যাচ্ছি না?  
আমি গাড়ি চালাই না, তাই।		আপনার লাইসেন্স আছে?
আছে।	লাইসেন্স আর গাড়ি দুটোই আছে আপনার, তারপরও ট্রেনে কেন যাচ্ছি?
চুপচাপ থাকো।	বললাম আরকি।
গাড়িতে গেলে টাকাও বেঁচে যেত অনেক।		তাই না?
সবসময় কি এমন বকবক করতেই থাকো?	দুঃখিত!
আজ আমরা কী শিখবো তাহলে?	চি,আমাদের ভেতরের শক্তি।
যেটা জীবনে চলতে সাহায্য করে।	যেটা আমাদের শরীরের মধ্যেই প্রবাহমান।
যা থেকে আমরা শক্তি পাই।		বুঝতে পেরেছি।
অনেকটা স্টার ওয়ার্সের মতো।	আপনি হলেন ইয়োডা আর আমি হচ্ছি জেডাই।
আপনি কি এখানেই কুংফু শিখেছেন?	হ্যাঁ, আমি যা শিখেছি সব এখান থেকেই।
চাও ড্রে, তোমার ব্যাগবাট্টা সব এখানে রাখো।	আমরা কোথায় যাব?
ওই পাহাড়ের চূড়ায়।	ড্রাগন কুয়োর পানি পান করতে।
ড্রাগন কুয়ো!		আশা করছি কাছেই হবে,
তাই না?	আর কতদূর?
চলে এসেছি প্রায়।	চাইনিজে "পানিকে" কী বলেন আপনারা
সুয়ে অনেক পানি পিপাসা লেগেছে।	অনেক পিপাসা পেয়েছে, মিস্টার হান
পাহাড়ের উপরে গেলেই পানি পাবে।	চাও ড্রে এসে গেছি আমরা।
এটাই তাহলে ড্রাগন কুয়ো?		হ্যাঁ
